School,Nickname,City,State,Conference,Division
Bentley University,Falcons,Waltham,Massachusetts,Northeast-10 Conference,II
Berea College,Mountaineers,Berea,Kentucky,Independent,III
Berry College[A 1],Vikings,Mount Berry,Georgia,Southern Athletic Association,III
Bethany College,Bison,Bethany,West Virginia,Presidents' Athletic Conference,III
Bethany Lutheran College,Vikings,Mankato,Minnesota,Upper Midwest Athletic Conference,III
Bethel University,Royals,Arden Hills,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Bethune-Cookman University,Wildcats,Daytona Beach,Florida,Mid-Eastern Athletic Conference,I
Binghamton University,Bearcats,Vestal,New York,America East Conference,I
Birmingham–Southern College,Panthers,Birmingham,Alabama,Southern Athletic Association,III
Black Hills State University,Yellow Jackets,Spearfish,South Dakota,Rocky Mountain Athletic Conference,II
Blackburn College,Beavers,Carlinville,Illinois,St. Louis Intercollegiate Athletic Conference,III
Bloomfield College,Bears,Bloomfield,New Jersey,Central Atlantic Collegiate Conference,II
Bloomsburg University of Pennsylvania,Huskies,Bloomsburg,Pennsylvania,Pennsylvania State Athletic Conference,II
Bluefield State College,Big Blues & Lady Blues,Bluefield,West Virginia,Independent,II
Bluffton University,Beavers,Bluffton,Ohio,Heartland Collegiate Athletic Conference,III
Boise State University,Broncos,Boise,Idaho,Mountain West Conference,I
Boston College,Eagles,Chestnut Hill,Massachusetts,Atlantic Coast Conference,I
Boston University,Terriers,Boston,Massachusetts,Patriot League,I
Bowdoin College,Polar Bears,Brunswick,Maine,New England Small College Athletic Conference,III
Bowie State University,Bulldogs,Bowie,Maryland,Central Intercollegiate Athletic Association,II
Bowling Green State University,Falcons,Bowling Green,Ohio,Mid-American Conference,I
Bradley University,Braves,Peoria,Illinois,Missouri Valley Conference,I
Brandeis University,Judges,Waltham,Massachusetts,University Athletic Association,III
Brevard College,Tornados,Brevard,North Carolina,USA South Athletic Conference,III
Bridgewater College,Eagles,Bridgewater,Virginia,Old Dominion Athletic Conference,III
Bridgewater State University,Bears,Bridgewater,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
Brigham Young University,Cougars,Provo,Utah,West Coast Conference,I
Brooklyn College,Bulldogs,Brooklyn,New York,City University of New York Athletic Conference,III
Brown University,Bears,Providence,Rhode Island,Ivy League,I
Bryant University,Bulldogs,Smithfield,Rhode Island,Northeast Conference,I
Bryn Athyn College[A 2],Lions,Bryn Athyn,Pennsylvania,North Eastern Athletic Conference,III
Bryn Mawr College,Owls,Bryn Mawr,Pennsylvania,Centennial Conference,III
Bucknell University,Bison,Lewisburg,Pennsylvania,Patriot League,I
Buena Vista University,Beavers,Storm Lake,Iowa,Iowa Intercollegiate Athletic Conference,III
Buffalo State College,Bengals,Buffalo,New York,State University of New York Athletic Conference,III
Butler University,Bulldogs,Indianapolis,Indiana,Big East Conference,I
Cabrini University,Cavaliers,Radnor,Pennsylvania,Colonial States Athletic Conference,III
Cairn University,Highlanders,Langhorne,Pennsylvania,Colonial States Athletic Conference,III
Caldwell University,Cougars,Caldwell,New Jersey,Central Atlantic Collegiate Conference,II
California Baptist University,Lancers,Riverside,California,Pacific West Conference,II
California Institute of Technology,Beavers,Pasadena,California,Southern California Intercollegiate Athletic Conference,III
California Lutheran University,Kingsmen,Thousand Oaks,California,Southern California Intercollegiate Athletic Conference,III
California Polytechnic State University,Mustangs,San Luis Obispo,California,Big West Conference,I
California State Polytechnic University, Pomona,Broncos,Pomona,California,California Collegiate Athletic Association,II
California State University, Bakersfield,Roadrunners,Bakersfield,California,Western Athletic Conference,I
California State University, Chico,Wildcats,Chico,California,California Collegiate Athletic Association,II
California State University, Dominguez Hills,Toros,Carson,California,California Collegiate Athletic Association,II
California State University, East Bay,Pioneers,Hayward,California,California Collegiate Athletic Association,II
California State University, Fresno,Bulldogs,Fresno,California,Mountain West Conference,I
California State University, Fullerton,Titans,Fullerton,California,Big West Conference,I
California State University, Long Beach,49ers[A 3],Long Beach,California,Big West Conference,I
California State University, Los Angeles,Golden Eagles,Los Angeles,California,California Collegiate Athletic Association,II
California State University, Monterey Bay,Otters,Seaside,California,California Collegiate Athletic Association,II
California State University, Northridge,Matadors,Northridge,California,Big West Conference,I
California State University, Sacramento,Hornets,Sacramento,California,Big Sky Conference,I
California State University, San Bernardino,Coyotes,San Bernardino,California,California Collegiate Athletic Association,II
California State University, Stanislaus,Warriors,Turlock,California,California Collegiate Athletic Association,II
California University of Pennsylvania,Vulcans,California,Pennsylvania,Pennsylvania State Athletic Conference,II
Calvin College,Knights,Grand Rapids,Michigan,Michigan Intercollegiate Athletic Association,III
Cameron University,Aggies,Lawton,Oklahoma,Lone Star Conference,II
Campbell University,Fighting Camels and Lady Camels,Buies Creek,North Carolina,Big South Conference,I
Canisius College,Golden Griffins,Buffalo,New York,Metro Atlantic Athletic Conference,I
Capital University,Crusaders,Columbus,Ohio,Ohio Athletic Conference,III
Carleton College,Knights,Northfield,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Carnegie Mellon University,Tartans,Pittsburgh,Pennsylvania,University Athletic Association,III
Carroll University,Pioneers,Waukesha,Wisconsin,College Conference of Illinois and Wisconsin,III
Carson–Newman University,Eagles,Jefferson City,Tennessee,South Atlantic Conference,II
Carthage College,Red Men/Lady Reds,Kenosha,Wisconsin,College Conference of Illinois and Wisconsin,III
Case Western Reserve University,Spartans,Cleveland,Ohio,University Athletic Association,III
Castleton University,Spartans,Castleton,Vermont,North Atlantic Conference,III
Catawba College,Indians,Salisbury,North Carolina,South Atlantic Conference,II
Catholic University of America,Cardinals,Washington,District of Columbia,Landmark Conference,III
Cazenovia College,Wildcats,Cazenovia,New York,North Eastern Athletic Conference,III
Cedar Crest College,Falcons,Allentown,Pennsylvania,Colonial States Athletic Conference,III
Cedarville University,Yellow Jackets,Cedarville,Ohio,Great Midwest Athletic Conference,II
Centenary College of Louisiana,Gents and Ladies,Shreveport,Louisiana,Southern Collegiate Athletic Conference,III
Centenary College of New Jersey,Cyclones,Hackettstown,New Jersey,Colonial States Athletic Conference,III
Central College,Dutch,Pella,Iowa,Iowa Intercollegiate Athletic Conference,III
Central Connecticut State University,Blue Devils,New Britain,Connecticut,Northeast Conference,I
Central Michigan University,Chippewas,Mount Pleasant,Michigan,Mid-American Conference,I
Central State University,Marauders & Lady Marauders,Wilberforce,Ohio,Southern Intercollegiate Athletic Conference,II
Central Washington University,Wildcats,Ellensburg,Washington,Great Northwest Athletic Conference,II
Centre College,Colonels,Danville,Kentucky,Southern Athletic Association,III
Chadron State College,Eagles,Chadron,Nebraska,Rocky Mountain Athletic Conference,II
Chaminade University of Honolulu,Silverswords,Honolulu,Hawai'i,Pacific West Conference,II
Chapman University,Panthers,Orange,California,Southern California Intercollegiate Athletic Conference,III
Charleston Southern University,Buccaneers,Charleston,South Carolina,Big South Conference,I
Chatham University,Cougars,Pittsburgh,Pennsylvania,Presidents' Athletic Conference,III
Chestnut Hill College,Griffins,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,II
Cheyney University of Pennsylvania,Wolves,Cheyney,Pennsylvania,Pennsylvania State Athletic Conference,II
Chicago State University,Cougars,Chicago,Illinois,Western Athletic Conference,I
Chowan University,Hawks,Murfreesboro,North Carolina,Central Intercollegiate Athletic Association,II
Christian Brothers University,Buccaneers,Memphis,Tennessee,Gulf South Conference,II
Christopher Newport University,Captains,Newport News,Virginia,Capital Athletic Conference,III
City College of New York (CCNY),Beavers,New York,New York,City University of New York Athletic Conference,III
Claflin University,Panthers,Orangeburg,South Carolina,Southern Intercollegiate Athletic Conference,II
Claremont–Mudd–Scripps[A 3],Stags and Athenas,Claremont,California,Southern California Intercollegiate Athletic Conference,III
Clarion University of Pennsylvania,Golden Eagles,Clarion,Pennsylvania,Pennsylvania State Athletic Conference,II
Clark Atlanta University,Panthers,Atlanta,Georgia,Southern Intercollegiate Athletic Conference,II
Clark University,Cougars,Worcester,Massachusetts,New England Women's and Men's Athletic Conference,III
Clarks Summit University,Defenders,Clarks Summit,Pennsylvania,Colonial States Athletic Conference,III
Clarkson University[A 4][A 5],Golden Knights,Potsdam,New York,Liberty League,III
Clayton State University,Lakers,Morrow,Georgia,Peach Belt Conference,II
Clemson University,Tigers,Clemson,South Carolina,Atlantic Coast Conference,I
Cleveland State University,Vikings,Cleveland,Ohio,Horizon League,I
Coastal Carolina University,Chanticleers,Conway,South Carolina,Sun Belt Conference,I
Coe College,Kohawks,Cedar Rapids,Iowa,Iowa Intercollegiate Athletic Conference,III
Coker College,Cobras,Hartsville,South Carolina,South Atlantic Conference,II
Colby College,White Mules,Waterville,Maine,New England Small College Athletic Conference,III
Colby–Sawyer College,Chargers,New London,New Hampshire,North Atlantic Conference,III
Colgate University,Raiders,Hamilton,New York,Patriot League,I
College of Charleston,Cougars,Charleston,South Carolina,Colonial Athletic Association,I
College of Mount Saint Vincent,Dolphins,The Bronx,New York,Skyline Conference,III
College of New Rochelle,Blue Angels,New Rochelle,New York,Independent,III
College of Saint Benedict,Blazers,St. Joseph,Minnesota,Minnesota Intercollegiate Athletic Conference,III
College of Saint Elizabeth,Screaming Eagles,Convent Station,New Jersey,North Eastern Athletic Conference,III
College of Saint Rose,Golden Knights,Albany,New York,Northeast-10 Conference,II
College of Staten Island,Dolphins,Staten Island,New York,City University of New York Athletic Conference,III
College of the Holy Cross,Crusaders,Worcester,Massachusetts,Patriot League,I
College of William & Mary,Tribe,Williamsburg,Virginia,Colonial Athletic Association,I
College of Wooster,Fighting Scots,Wooster,Ohio,North Coast Athletic Conference,III
Colorado Christian University,Cougars,Lakewood,Colorado,Rocky Mountain Athletic Conference,II
Colorado College[A 4][A 6],Tigers,Colorado Springs,Colorado,Southern Collegiate Athletic Conference,III
Colorado Mesa University,Mavericks,Grand Junction,Colorado,Rocky Mountain Athletic Conference,II
Colorado School of Mines,Orediggers,Golden,Colorado,Rocky Mountain Athletic Conference,II
Colorado State University,Rams,Fort Collins,Colorado,Mountain West Conference,I
Colorado State University–Pueblo,ThunderWolves,Pueblo,Colorado,Rocky Mountain Athletic Conference,II
Columbia University,Lions,Manhattan,New York,Ivy League,I
Columbus State University,Cougars,Columbus,Georgia,Peach Belt Conference,II
Concord University,Mountain Lions,Athens,West Virginia,Mountain East Conference,II
Concordia College,Clippers,Bronxville,New York,Central Atlantic Collegiate Conference,II
Concordia College,Cobbers,Moorhead,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Concordia University Chicago,Cougars,River Forest,Illinois,Northern Athletics Collegiate Conference,III
Concordia University Texas,Tornados,Austin,Texas,American Southwest Conference,III
Concordia University Wisconsin,Falcons,Mequon,Wisconsin,Northern Athletics Collegiate Conference,III
Concordia University–St. Paul,Golden Bears,St. Paul,Minnesota,Northern Sun Intercollegiate Conference,II
Connecticut College,Camels,New London,Connecticut,New England Small College Athletic Conference,III
Converse College,Valkyries,Spartanburg,South Carolina,Conference Carolinas,II
Coppin State University,Eagles,Baltimore,Maryland,Mid-Eastern Athletic Conference,I
Cornell College,Rams,Mount Vernon,Iowa,Midwest Conference,III
Cornell University,Big Red,Ithaca,New York,Ivy League,I
Covenant College[A 1],Scots,Lookout Mountain,Georgia,USA South Athletic Conference,III
Creighton University,Bluejays,Omaha,Nebraska,Big East Conference,I
Crown College,Storm,St. Bonifacius,Minnesota,Upper Midwest Athletic Conference,III
Curry College,Colonels,Milton,Massachusetts,The Commonwealth Coast Conference,III
D'Youville College,Spartans,Buffalo,New York,Allegheny Mountain Collegiate Conference,III
Daemen College,Wildcats,Amherst,New York,East Coast Conference,II
Dallas Baptist University,Patriots,Dallas,Texas,Heartland Conference,II
Dartmouth College,Big Green,Hanover,New Hampshire,Ivy League,I
Davidson College,Wildcats,Davidson,North Carolina,Atlantic 10 Conference,I
Davis & Elkins College,Senators,Elkins,West Virginia,Great Midwest Athletic Conference,II
Defiance College,Yellow Jackets and Lady Jackets,Defiance,Ohio,Heartland Collegiate Athletic Conference,III
Delaware State University,Hornets and Lady Hornets,Dover,Delaware,Mid-Eastern Athletic Conference,I
Delaware Valley University,Aggies,Doylestown,Pennsylvania,MAC Freedom Conference,III
Delta State University,Statesmen & Lady Statesmen,Cleveland,Mississippi,Gulf South Conference,II
Denison University,Big Red,Granville,Ohio,North Coast Athletic Conference,III
DePaul University,Blue Demons,Chicago,Illinois,Big East Conference,I
DePauw University,Tigers,Greencastle,Indiana,North Coast Athletic Conference,III
DeSales University,Bulldogs,Center Valley,Pennsylvania,MAC Freedom Conference,III
Dickinson College,Red Devils,Carlisle,Pennsylvania,Centennial Conference,III
Dixie State University,Trailblazers,St. George,Utah,Pacific West Conference,II
Dominican College,Chargers,Orangeburg,New York,Central Atlantic Collegiate Conference,II
Dominican University,Stars,River Forest,Illinois,Northern Athletics Collegiate Conference,III
Dominican University of California,Penguins,San Rafael,California,Pacific West Conference,II
Drake University,Bulldogs,Des Moines,Iowa,Missouri Valley Conference,I
Drew University,Rangers,Madison,New Jersey,Landmark Conference,III
Drexel University,Dragons,Philadelphia,Pennsylvania,Colonial Athletic Association,I
Drury University,Panthers,Springfield,Missouri,Great Lakes Valley Conference,II
Duke University,Blue Devils,Durham,North Carolina,Atlantic Coast Conference,I
Duquesne University,Dukes,Pittsburgh,Pennsylvania,Atlantic 10 Conference,I
Earlham College,Quakers,Richmond,Indiana,Heartland Collegiate Athletic Conference,III
East Carolina University,Pirates and Lady Pirates,Greenville,North Carolina,American Athletic Conference,I
East Central University,Tigers,Ada,Oklahoma,Great American Conference,II
East Stroudsburg University of Pennsylvania,Warriors,East Stroudsburg,Pennsylvania,Pennsylvania State Athletic Conference,II
East Tennessee State University,Buccaneers and Lady Buccaneers,Johnson City,Tennessee,Southern Conference,I
East Texas Baptist University,Tigers,Marshall,Texas,American Southwest Conference,III
Eastern Connecticut State University,Warriors,Willimantic,Connecticut,Little East Conference,III
Eastern Illinois University,Panthers,Charleston,Illinois,Ohio Valley Conference,I
Eastern Kentucky University,Colonels,Richmond,Kentucky,Ohio Valley Conference,I
Eastern Mennonite University,Royals,Harrisonburg,Virginia,Old Dominion Athletic Conference,III
Eastern Michigan University,Eagles,Ypsilanti,Michigan,Mid-American Conference,I
Eastern Nazarene College,Lions,Quincy,Massachusetts,The Commonwealth Coast Conference,III
Eastern New Mexico University,Greyhounds,Portales,New Mexico,Lone Star Conference,II
Eastern University,Eagles,St. Davids,Pennsylvania,MAC Freedom Conference,III
Eastern Washington University,Eagles,Cheney,Washington,Big Sky Conference,I
Eckerd College,Tritons,St. Petersburg,Florida,Sunshine State Conference,II
Edgewood College,Eagles,Madison,Wisconsin,Northern Athletics Collegiate Conference,III
Edinboro University of Pennsylvania,Fighting Scots,Edinboro,Pennsylvania,Pennsylvania State Athletic Conference,II
Elizabeth City State University,Vikings,Elizabeth City,North Carolina,Central Intercollegiate Athletic Association,II
Elizabethtown College,Blue Jays,Elizabethtown,Pennsylvania,Landmark Conference,III
Elmhurst College,Bluejays,Elmhurst,Illinois,College Conference of Illinois and Wisconsin,III
Elmira College,Soaring Eagles,Elmira,New York,Empire 8,III
Elms College,Blazers,Chicopee,Massachusetts,New England Collegiate Conference,III
Elon University,Phoenix,Elon,North Carolina,Colonial Athletic Association,I
Emerson College,Lions,Boston,Massachusetts,New England Women's and Men's Athletic Conference,III
Emmanuel College,Saints,Boston,Massachusetts,Great Northeast Athletic Conference,III
Emory and Henry College,Wasps,Emory,Virginia,Old Dominion Athletic Conference,III
Emory University,Eagles,Atlanta,Georgia,University Athletic Association,III
Emporia State University,Hornets,Emporia,Kansas,Mid-America Intercollegiate Athletics Association,II
Endicott College,Gulls,Beverly,Massachusetts,The Commonwealth Coast Conference,III
Erskine College,Flying Fleet,Due West,South Carolina,Conference Carolinas,II
Eureka College,Red Devils,Eureka,Illinois,St. Louis Intercollegiate Athletic Conference,III
Fairfield University,Stags,Fairfield,Connecticut,Metro Atlantic Athletic Conference,I
Fairleigh Dickinson University,Knights,Hackensack,New Jersey,Northeast Conference,I
Fairleigh Dickinson University, Florham,Devils,Madison/Florham Park,New Jersey,MAC Freedom Conference,III
Fairmont State University,Falcons,Fairmont,West Virginia,Mountain East Conference,II
Farmingdale State College,Rams,Farmingdale,New York,Skyline Conference,III
Fayetteville State University,Broncos,Fayetteville,North Carolina,Central Intercollegiate Athletic Association,II
Felician University,Golden Falcons,Rutherford,New Jersey,Central Atlantic Collegiate Conference,II
Ferris State University,Bulldogs,Big Rapids,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Ferrum College,Panthers,Ferrum,Virginia,USA South Athletic Conference,III
Finlandia University,Lions,Hancock,Michigan,Independent,III
Fitchburg State University,Falcons,Fitchburg,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
Flagler College,Saints,St. Augustine,Florida,Peach Belt Conference,II
Florida A&M University,Rattlers and Lady Rattlers,Tallahassee,Florida,Mid-Eastern Athletic Conference,I
Florida Atlantic University,Owls,Boca Raton,Florida,Conference USA,I
Florida Gulf Coast University,Eagles,Fort Myers,Florida,Atlantic Sun Conference,I
Florida Institute of Technology,Panthers,Melbourne,Florida,Sunshine State Conference,II
Florida International University,Panthers,Miami,Florida,Conference USA,I
Florida Southern College,Moccasins,Lakeland,Florida,Sunshine State Conference,II
Florida State University,Seminoles,Tallahassee,Florida,Atlantic Coast Conference,I
Fontbonne University,Griffins,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference,III
Fordham University,Rams,Bronx,New York,Atlantic 10 Conference,I
Fort Hays State University,Tigers,Hays,Kansas,Mid-America Intercollegiate Athletics Association,II
Fort Lewis College,Skyhawks,Durango,Colorado,Rocky Mountain Athletic Conference,II
Fort Valley State University,Wildcats,Fort Valley,Georgia,Southern Intercollegiate Athletic Conference,II
Framingham State University,Rams,Framingham,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
Francis Marion University,Patriots,Florence,South Carolina,Peach Belt Conference,II
Franciscan University of Steubenville,Barons,Steubenville,Ohio,Allegheny Mountain Collegiate Conference,III
Franklin & Marshall College[A 7],Diplomats,Lancaster,Pennsylvania,Centennial Conference,III
Franklin College,Grizzlies,Franklin,Indiana,Heartland Collegiate Athletic Conference,III
Franklin Pierce University,Ravens,Rindge,New Hampshire,Northeast-10 Conference,II
Fresno Pacific University,Sunbirds,Fresno,California,Pacific West Conference,II
Frostburg State University,Bobcats,Frostburg,Maryland,Capital Athletic Conference,III
Furman University,Paladins and Lady Paladins,Greenville,South Carolina,Southern Conference,I
Gallaudet University,Bison,Washington,District of Columbia,North Eastern Athletic Conference,III
Gannon University,Golden Knights,Erie,Pennsylvania,Pennsylvania State Athletic Conference,II
Gardner–Webb University,Runnin' Bulldogs,Boiling Springs,North Carolina,Big South Conference,I
Geneva College,Golden Tornadoes,Beaver Falls,Pennsylvania,Presidents' Athletic Conference,III
George Fox University,Bruins,Newberg,Oregon,Northwest Conference,III
George Mason University,Patriots,Fairfax,Virginia,Atlantic 10 Conference,I
George Washington University,Colonials,Washington,District of Columbia,Atlantic 10 Conference,I
Georgetown University,Hoyas,Washington,District of Columbia,Big East Conference,I
Georgia College & State University,Bobcats,Milledgeville,Georgia,Peach Belt Conference,II
Georgia Institute of Technology,Yellow Jackets,Atlanta,Georgia,Atlantic Coast Conference,I
Georgia Southern University,Eagles and Lady Eagles,Statesboro,Georgia,Sun Belt Conference,I
Georgia Southwestern State University,Hurricanes,Americus,Georgia,Peach Belt Conference,II
Georgia State University,Panthers,Atlanta,Georgia,Sun Belt Conference,I
Georgian Court University,Lions,Lakewood,New Jersey,Central Atlantic Collegiate Conference,II
Gettysburg College,Bullets,Gettysburg,Pennsylvania,Centennial Conference,III
Glenville State College,Pioneers,Glenville,West Virginia,Mountain East Conference,II
Goldey–Beacom College,Lightning,Pike Creek Valley,Delaware,Central Atlantic Collegiate Conference,II
Gonzaga University,Bulldogs,Spokane,Washington,West Coast Conference,I
Gordon College,Fighting Scots,Wenham,Massachusetts,The Commonwealth Coast Conference,III
Goucher College,Gophers,Towson,Maryland,Landmark Conference,III
Grambling State University,Tigers and Lady Tigers,Grambling,Louisiana,Southwestern Athletic Conference,I
Grand Valley State University,Lakers,Allendale,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Green Mountain College,Eagles,Poultney,Vermont,North Atlantic Conference,III
Greensboro College,Pride,Greensboro,North Carolina,USA South Athletic Conference,III
Greenville College,Panthers,Greenville,Illinois,St. Louis Intercollegiate Athletic Conference,III
Grinnell College,Pioneers,Grinnell,Iowa,Midwest Conference,III
Grove City College,Wolverines,Grove City,Pennsylvania,Presidents' Athletic Conference,III
Guilford College,Quakers,Greensboro,North Carolina,Old Dominion Athletic Conference,III
Gustavus Adolphus College,Gusties,St. Peter,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Gwynedd Mercy University,Griffins,Lower Gwynedd Township,Pennsylvania,Colonial States Athletic Conference,III
Hamilton College,Continentals,Clinton,New York,New England Small College Athletic Conference,III
Hamline University,Pipers,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Hampden–Sydney College,Tigers,Hampden Sydney,Virginia,Old Dominion Athletic Conference,III
Hampton University,Pirates and Lady Pirates,Hampton,Virginia,Mid-Eastern Athletic Conference,I
Hanover College,Panthers,Hanover,Indiana,Heartland Collegiate Athletic Conference,III
Hardin–Simmons University,Cowboys and Cowgirls,Abilene,Texas,American Southwest Conference,III
Harding University,Bisons & Lady Bisons,Searcy,Arkansas,Great American Conference,II
Hartwick College[A 8],Hawks,Oneonta,New York,Empire 8,III
Harvard University,Crimson,Cambridge,Massachusetts,Ivy League,I
Haverford College,Fords,Haverford,Pennsylvania,Centennial Conference,III
Hawai'i Pacific University,Sharks,Honolulu,Hawai'i,Pacific West Conference,II
Heidelberg University,Student Princes,Tiffin,Ohio,Ohio Athletic Conference,III
Henderson State University,Reddies,Arkadelphia,Arkansas,Great American Conference,II
Hendrix College,Warriors,Conway,Arkansas,Southern Athletic Association,III
High Point University,Panthers,High Point,North Carolina,Big South Conference,I
Hilbert College,Hawks,Hamburg,New York,Allegheny Mountain Collegiate Conference,III
Hillsdale College,Chargers,Hillsdale,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Hiram College,Terriers,Hiram,Ohio,North Coast Athletic Conference,III
Hobart College[A 9],Statesmen,Geneva,New York,Liberty League,III
Hofstra University,Pride,Hempstead,New York,Colonial Athletic Association,I
Hollins University,None,Roanoke,Virginia,Old Dominion Athletic Conference,III
Holy Family University,Tigers,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,II
Holy Names University,Hawks,Oakland,California,Pacific West Conference,II
Hood College,Blazers,Frederick,Maryland,MAC Commonwealth Conference,III
Hope College,Flying Dutchmen,Holland,Michigan,Michigan Intercollegiate Athletic Association,III
Houghton College,Highlanders,Houghton,New York,Empire 8,III
Houston Baptist University,Huskies,Houston,Texas,Southland Conference,I
Howard Payne University,Yellow Jackets,Brownwood,Texas,American Southwest Conference,III
Howard University,Bison and Lady Bison,Washington,District of Columbia,Mid-Eastern Athletic Conference,I
Humboldt State University,Lumberjacks,Arcata,California,California Collegiate Athletic Association,II
